Id1;Act1A1;Act1A2;Act2A1;Act2A2;ReasA1;ReasA2;REA1;REA2;NumTA1;NumTA2;T1A1;T1A2;T1SA1;T1SA2;T1TA1;T1TA2;T1TyA1;T1TyA2;T1SubjA1;T1SubjA2;T2A1;T2A2;T2SA1;T2SA2;T2TA1;T2TA2;T2TyA1;T2TyA2;T2SubjA1;T2SubjA2;T3A1;T3A2;T3SA1;T3SA2;T3TA1;T3TA2;T3TyA1;T3TyA2;T3SubjA1;T3SubjA2
259602;deliver;propose;{};{};internal collaboration;internal collaboration;postponed reply;accountable non-answer;0;1;{};the language is fine as is;;3;;3;;procedural;{};decision;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
1495;request;deliver;propose;{};administrative procedure;internal collaboration;accountable non-answer;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
1496;deliver;deliver;{};commit;internal collaboration;internal collaboration;accountable non-answer;immediate reply;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
41492;request;request;{};request;administrative procedure;employment arrangements;immediate reply;immediate reply;1;1;advice on handling reviews;inform the receipient of what needs to be done to remove file from personnel records;3;1;4;2;informational;procedural;service;instructions;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
77415;request;request;{};{};administrative procedure;travel planning;immediate reply;immediate reply;1;1;communicate what the sender is doing today.;"jeffrey.a.shankman asks  jennifer.burns about ""what he is doing on friday october 13th.";2;1;3;4;procedural;informational;instructions;information;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
77681;remind;deliver;commit;{};internal collaboration;administrative procedure;immediate reply;immediate reply;2;0;meeting;{};4;;4;;procedural;;meeting;{};sponsoring;{};2;;3;;informational;;decision;{};{};{};;;;;;;{};{}
20283;deliver;deliver;{};{};internal collaboration;internal collaboration;accountable non-answer;accountable non-answer;1;2;inform of received documents/information;assignment and assumption agreement dated as of september 28 2001;1;4;3;3;informational;informational;information;information;{};assignment and assumption agreement dated as of september 28 2001;;4;;3;;informational;{};information;;;;;;;;;;
260845;deliver;deliver;{};{};personal;personal;accountable non-answer;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
77443;propose;deliver;propose;{};internal collaboration;external collaboration;accountable non-answer;accountable non-answer;1;1;leave vince a voice mail;let me know if you need help;1;3;3;3;physical;informational;collaboration;collaboration;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
33196;deliver;deliver;{};{};legal procedure;legal procedure;immediate reply;accountable non-answer;1;0;ngx litigation and outside coun;{};4;;4;;procedural;;information;{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
68637;deliver;deliver;{};{};internal collaboration;internal collaboration;accountable non-answer;accountable non-answer;0;1;{};receive information regarding internal administrative issues;;1;;1;;informational;{};information;;;;;;;;;;;;;;;;;;;;
143381;deliver;deliver;{};{};internal collaboration;internal collaboration;ignore;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
384294;deliver;greet;remind;{};travel planning;personal;ignore;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
77762;commit;deliver;{};{};administrative procedure;internal collaboration;postponed reply;ignore;1;0;send the daily reports to him each day;{};1;;3;;informational;;information;{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
249103;deliver;propose;{};{};internal collaboration;employment arrangements;postponed reply;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
249100;deliver;amend;{};{};external collaboration;internal collaboration;postponed reply;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
143627;deliver;commit;{};{};external collaboration;administrative procedure;accountable non-answer;accountable non-answer;1;0;inform of acceptance of agreement;{};1;;3;;informational;;information;{};{};{};;;;;;;{};{};;;;;;;;;;
306164;request;request;{};{};internal collaboration;administrative procedure;accountable non-answer;accountable non-answer;1;1;renew my membership;renew membership;1;1;3;3;procedural;procedural;service;other;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
248595;request;request;{};{};internal collaboration;internal collaboration;immediate reply;immediate reply;1;1;e-mail to him the password application the eta and the financial and physical gtc s;email password info;2;1;4;3;procedural;physical;collaboration;information;{};{};;;;;;;{};{};;;;;;;;;;
104283;deliver;deliver;{};{};internal collaboration;administrative procedure;ignore;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
304955;request;request;{};{};internal collaboration;internal collaboration;{};postponed reply;1;1;send an email that contains a graph about a frozen portfolio;email graph;1;1;1;3;informational;informational;collaboration;service;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
211174;request;remind;{};{};administrative procedure;internal collaboration;immediate reply;immediate reply;1;1;reply to the email;provide an update on the document;1;1;1;2;physical;physical;information;collaboration;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
49346;propose;propose;{};{};administrative procedure;administrative procedure;immediate reply;immediate reply;1;1;set up meeting on monday and friday.;meeting;3;3;3;4;procedural;physical;meeting;meeting;{};{};;;;;;;{};{};;;;;;;;;;
78408;request;request;{};request;internal collaboration;internal collaboration;accountable non-answer;accountable non-answer;1;1;get together and fix an issue;get with nowlan;4;1;4;3;physical;procedural;collaboration;collaboration;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
30108;remind;deliver;{};{};internal collaboration;administrative procedure;accountable non-answer;postponed reply;0;1;{};received an executed amendment agreement;;4;;4;;procedural;{};acknowledgement;{};{};;;;;;;{};{};;;;;;;;;;
30107;deliver;deliver;{};{};internal collaboration;administrative procedure;accountable non-answer;accountable non-answer;1;0;inform of received documents/information;{};1;;3;;informational;;information;{};{};{};;;;;;;{};{};;;;;;;;;;
30106;remind;commit;{};deliver;internal collaboration;internal collaboration;accountable non-answer;ignore;0;1;{};information will be distributed;;3;;3;;informational;{};information;{};{};;;;;;;{};{};;;;;;;;;;
321096;remind;deliver;{};{};internal collaboration;internal collaboration;accountable non-answer;accountable non-answer;0;1;{};inform of internal situation;;1;;2;;informational;{};information;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
306733;deliver;propose;{};commit;travel planning;employment arrangements;postponed reply;postponed reply;0;1;{};video facilities both in houston and londo;;2;;3;;informational;{};meeting;{};provide an answer for the meeting;;2;;3;;informational;{};meeting;{};{};;;;;;;{};{}
232695;commit;deliver;{};{};legal procedure;internal collaboration;accountable non-answer;ignore;0;1;{};receive information regarding approval;;1;;3;;informational;{};information;{};{};;;;;;;{};{};;;;;;;;;;
232696;request;request;{};deliver;administrative procedure;internal collaboration;immediate reply;immediate reply;1;2;read and advise;receive information;1;1;3;2;procedural;informational;instructions;information;{};request information;;1;;3;;informational;{};information;;;;;;;;;;
104540;request;request;{};deliver;administrative procedure;internal collaboration;immediate reply;immediate reply;1;1;answer his questions;let them know if they have the us power marketing license.;1;1;4;4;informational;informational;information;information;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
30709;propose;propose;{};{};administrative procedure;administrative procedure;postponed reply;postponed reply;1;1;please let me know if you will be able to attend;we would like to schedule a meeting to discuss the materials legal will need.;1;3;2;3;procedural;physical;meeting;meeting;{};{};;;;;;;{};{};;;;;;;;;;
30676;propose;deliver;propose;{};administrative procedure;internal collaboration;postponed reply;accountable non-answer;1;0;credit suisse first boston london branch;{};2;;2;;informational;;information;{};{};{};;;;;;;{};{};;;;;;;;;;
103064;propose;commit;{};{};personal;administrative procedure;postponed reply;immediate reply;1;1;notify when and where for brunch;provide the time and place for the get together;4;4;4;3;informational;procedural;information;meeting;;;;;;;;;;;;;;;;;;;;
33540;deliver;deliver;{};{};legal procedure;legal procedure;accountable non-answer;accountable non-answer;1;0;message to self regarding ee&cc litigation requirements;{};1;;1;;procedural;;other;{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
30856;deliver;deliver;{};{};legal procedure;administrative procedure;accountable non-answer;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
142537;propose;deliver;{};{};external collaboration;internal collaboration;immediate reply;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
30775;deliver;amend;{};{};internal collaboration;administrative procedure;accountable non-answer;accountable non-answer;0;1;{};{};;1;;1;;informational;{};information;{};{};;;;;;;{};{};;;;;;;;;;
337654;commit;request;{};{};personal;personal;accountable non-answer;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
30770;request;request;{};deliver;internal collaboration;internal collaboration;immediate reply;immediate reply;1;1;provide the counterparty name if there is one.;"answer the question ""do we know a counterparty name or do i have to look at all our files?""";2;1;3;3;informational;informational;information;information;{};{};;;;;;;{};{};;;;;;;;;;
109479;request;request;greet;{};internal collaboration;internal collaboration;postponed reply;postponed reply;1;1;provide copy of sample isda agreement or inform where to locate it.;may i get a copy of the above referenced agreement?;2;1;2;2;informational;informational;service;information;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
210123;propose;deliver;propose;{};administrative procedure;external collaboration;ignore;immediate reply;6;0;1;{};3;;3;;informational;;service;{};2;{};1;;3;;informational;;service;{};3;{};2;;3;;informational;;service;{}
32897;request;request;{};{};legal procedure;internal collaboration;immediate reply;immediate reply;1;1;set meeting;confirm or deny if going to enron legal conference.;4;3;4;3;procedural;informational;meeting;instructions;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
173735;refuse;deliver;{};{};legal procedure;administrative procedure;immediate reply;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
41837;request;deliver;deliver;{};internal collaboration;administrative procedure;immediate reply;immediate reply;3;1;provide answer to where diana and renee are in the evening;schedule meeting;1;4;4;4;informational;physical;collaboration;meeting;provide weekend schedule;{};1;;4;;informational;;information;{};provide customers given to diana and renee;{};1;;4;;informational;;information;{}
41832;deliver;remind;{};{};personal;administrative procedure;accountable non-answer;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
78280;request;request;{};{};internal collaboration;internal collaboration;immediate reply;immediate reply;1;1;file the distribution weekly;send reports weekly;1;1;3;4;procedural;physical;other;collaboration;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
338891;request;deliver;{};{};internal collaboration;internal collaboration;ignore;postponed reply;1;0;{};{};2;;3;;informational;;collaboration;{};{};{};3;;2;;informational;;collaboration;{};;;;;;;;;;
139527;request;request;{};amend;administrative procedure;internal collaboration;immediate reply;immediate reply;1;2;answer if certification is necessary;importance of certification of necessity specific to ena;1;2;3;3;procedural;informational;information;information;{};selling the equity of the entity developing the project;;2;;3;;procedural;{};collaboration;;;;;;;;;;
9084;remind;deliver;propose;{};travel planning;personal;postponed reply;accountable non-answer;2;1;won't be able to reach me on cell phone;leave message at office;4;3;4;3;informational;informational;information;information;how to reach me bc phone won't work;{};3;;3;;informational;;instructions;{};ill call taffy on monday;{};3;;3;;informational;;other;{}
253257;deliver;deliver;deliver;{};personal;external collaboration;ignore;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
69779;commit;propose;propose;{};administrative procedure;internal collaboration;accountable non-answer;immediate reply;1;1;meet at office;meeting time confirmation;4;3;4;4;procedural;procedural;meeting;meeting;{};{};;;;;;;{};{};;;;;;;;;;
142333;greet;greet;{};greet;personal;personal;postponed reply;postponed reply;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
143130;{};{};request;deliver;internal collaboration;administrative procedure;postponed reply;postponed reply;1;1;his questions were: ownership of llc and status of ppa.kay;find answers to the quesions;1;1;1;2;informational;informational;information;information;{};{};;;;;;;{};{};;;;;;;;;;
252772;propose;amend;{};amend;internal collaboration;external collaboration;accountable non-answer;immediate reply;1;1;be ready to talk about things when they meet;v&e comments ontsh license agreement between enron and accenture;3;3;3;3;informational;physical;meeting;collaboration;{};v&e comments ontsh license agreement between enron and accenture;;3;;3;;physical;{};collaboration;;;;;;;;;;
252775;deliver;request;{};{};administrative procedure;administrative procedure;accountable non-answer;accountable non-answer;0;1;{};{};;4;;4;;procedural;{};information;{};{};;;;;;;{};{};;;;;;;;;;
337563;remind;deliver;{};{};administrative procedure;administrative procedure;ignore;accountable non-answer;1;1;prepay the deal.;prepay deals;1;1;2;4;procedural;physical;other;service;{};{};;;;;;;{};{};;;;;;;;;;
77881;greet;deliver;{};{};personal;personal;accountable non-answer;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
41430;request;deliver;{};{};internal collaboration;internal collaboration;immediate reply;accountable non-answer;1;0;verify this task is assigned;{};2;;4;;informational;;service;{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
49600;deliver;deliver;{};{};internal collaboration;internal collaboration;accountable non-answer;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
49600;deliver;deliver;{};{};internal collaboration;internal collaboration;accountable non-answer;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
200547;deliver;propose;request;{};personal;personal;postponed reply;postponed reply;1;1;matt.smith asks  agoldberg if he is around when he hits the town with his little brother;personal plans for saturday night;4;1;3;1;informational;physical;meeting;event;;;;;;;;;;;;;;;;;;;;
385003;remind;deliver;{};{};internal collaboration;personal;accountable non-answer;ignore;0;0;{};{};;;;;;;{};{};;;;;;;;;;;;;;;;;;;;
162531;remind;deliver;remind;{};internal collaboration;other;immediate reply;accountable non-answer;2;0;houston severe weather information;{};3;;3;;informational;;information;{};fw: houston severe weather information;{};3;;4;;informational;;information;{};{};{};;;;;;;{};{}
173378;deliver;deliver;{};{};personal;personal;accountable non-answer;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
105474;deliver;deliver;{};{};legal procedure;external collaboration;accountable non-answer;immediate reply;1;0;contact the person;{};2;;2;;procedural;;collaboration;{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
49609;request;request;{};{};internal collaboration;internal collaboration;accountable non-answer;postponed reply;1;1;include my issue;in planning the transition please include this issue;1;2;3;2;physical;procedural;information;information;{};{};;;;;;;{};{};;;;;;;;;;
104498;request;request;{};{};other;internal collaboration;immediate reply;immediate reply;1;1;respond with updates;information request regarding pulp & paper group.;1;1;1;1;informational;informational;information;information;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
394978;deliver;request;{};{};administrative procedure;external collaboration;postponed reply;postponed reply;1;1;let know if any problems or concerns;let him know if any objection;1;1;3;3;informational;informational;information;instructions;;;;;;;;;;;;;;;;;;;;
49565;request;request;{};remind;other;administrative procedure;immediate reply;postponed reply;1;1;what are buxtons motives;they want them to keep pushing the political message;1;1;4;1;informational;physical;information;other;{};{};;;;;;;{};{};;;;;;;;;;
306117;commit;request;{};{};internal collaboration;other;immediate reply;immediate reply;0;1;{};let her know if interested;;1;;1;;informational;{};information;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
173273;commit;commit;{};request;travel planning;internal collaboration;accountable non-answer;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
188171;amend;deliver;amend;{};administrative procedure;internal collaboration;accountable non-answer;accountable non-answer;1;1;executive committee-managing directors meeting;inform of meeting time;3;3;3;3;;informational;{};meeting;;;;;;;;;;;;;;;;;;;;
102938;deliver;request;request;{};administrative procedure;administrative procedure;immediate reply;accountable non-answer;2;1;inform of standard operation procedures;use the correct forms;1;1;3;2;informational;procedural;announcement;instructions;request information;{};1;;3;;informational;;information;{};{};{};;;;;;;{};{}
259941;greet;greet;{};{};other;personal;postponed reply;accountable non-answer;1;0;write back with travel update;{};1;;1;;informational;;information;{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
173429;propose;propose;{};{};internal collaboration;internal collaboration;postponed reply;immediate reply;1;1;provide thoughts on the proposed changes.;change a policy;1;3;3;3;procedural;procedural;decision;service;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
249778;request;request;{};{};administrative procedure;internal collaboration;immediate reply;immediate reply;1;1;should we approach a group;answer question;4;2;3;2;procedural;informational;meeting;collaboration;{};{};;;;;;;{};{};;;;;;;;;;
182525;request;request;{};{};internal collaboration;administrative procedure;immediate reply;postponed reply;1;1;do you want us to have jeff shankman execute?;sender is asking if they should have someone execute an agreement.;1;2;4;2;informational;procedural;collaboration;collaboration;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
249802;deliver;request;{};{};employment arrangements;administrative procedure;immediate reply;immediate reply;1;1;who are we interviewing each day;requesting a schedule;4;3;3;4;informational;informational;information;meeting;{};{};;;;;;;{};{};;;;;;;;;;
102834;remind;greet;{};{};personal;personal;accountable non-answer;accountable non-answer;1;0;if anything was good he will pass it to the receiver;{};4;;2;;informational;;information;{};;;;;;;;;;;;;;;;;;;;
249800;commit;remind;{};propose;external collaboration;administrative procedure;postponed reply;immediate reply;0;1;{};request to call;;3;;3;;procedural;{};decision;{};{};;;;;;;{};{};;;;;;;;;;
306866;request;propose;{};{};employment arrangements;employment arrangements;postponed reply;immediate reply;1;1;let him know if interested;reply whether or not he wants the internship;2;1;2;1;procedural;physical;acknowledgement;product;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
