body,Act1A1_amend,Act1A1_commit,Act1A1_deliver,Act1A1_greet,Act1A1_propose,Act1A1_refuse,Act1A1_remind,Act1A1_request,ReasA1_administrative procedure,ReasA1_employment arrangements,ReasA1_external collaboration,ReasA1_internal collaboration,ReasA1_legal procedure,ReasA1_logistic arrangements,ReasA1_other,ReasA1_personal,ReasA1_travel planning,REA1_accountable non-answer,REA1_ignore,REA1_immediate reply,REA1_postponed reply,NumTA1_0,NumTA1_1,NumTA1_2,NumTA1_3
" -----Original Message-----From: 	""Jackie Gallagher"" <JGallagher@epsa.org>@ENRON  Sent:	Wednesday, October 31, 2001 9:28 AMTo:	acomnes@enron.com; Hawkins, Bernadette; Nersesian, Carin; Nicolay, Christi L.; Fulton, Donna; Steffes, James D.; Scheuer, Janelle; Hartsoe, Joe; Shelk, John; Noske, Linda J.; Robertson, Linda; Alvarez, Ray; Shapiro, Richard; Novosel, Sarah; Mara, Susan; Lindberg, Susan; Hoatson, TomSubject:	EPSA Leave-Behind on Market-Based Rate Authority- Conf. Call	Friday, 11:00 a.m.MEMORANDUMTO: Regulatory Affairs Committee       Power Marketers Working GroupFROM: Jim Steffes, Regulatory Affairs Committee Chair            Bob Reilley, Power Marketers Working Group Chair            Julie Simon, Vice President of Policy            Erin Perrigo, Manager of PolicyDATE: October 31, 2001RE: EPSA Leave-Behind on Market-Based Rate Authority      ?Conference Call on Friday, November 2nd at 11:00 a.m.       (EST)Last Friday, we held a conference call to discuss EPSA s position on possible changes to FERC s market-based rate authorization standard and the Commission s recently released staff report outlining several alternatives to the currently used hub-and-spoke method.  Please review the attached draft, which has been extensively revised based on last week s call.  We have scheduled a conference call on Friday, November 2nd at 11:00 a.m. (EST) to discuss this draft and hope to be able to go forward after that call.  To access the call, please dial 1-800-937-6563.  Ask for the Julie Simon/EPSA Call. If you have any questions, comments or edits before the call, please contact Julie Simon at 202-628-8200 or jsimon@epsa.org.Attachment - MBR leave behind draft 2.doc",False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
"please put on calendar---------------------- Forwarded by Jeffrey A Shankman/HOU/ECT on 01/03/2001 11:30 AM ---------------------------   	Enron North America Corp.		From:  Charlene Jackson @ ENRON                           01/03/2001 10:08 AM	Sent by: Cheryl Kuehl@ENRONTo: cc: Sherri Sera/Corp/Enron@ENRON, Katherine Brown/Corp/Enron@ENRON, Julie Braly/NA/Enron@ENRON, Celeste Roberts/HOU/ECT@ECT, Shelly Butler/HOU/ECT@ECT, Jana Giovannini/HOU/ECT@ECT, Shelly Jones/HOU/ECT@ECT, Teresa Bosien/HR/Corp/Enron@ENRON, Charlene Jackson/Corp/Enron@ENRON, Cheryl Kuehl/Corp/Enron@ENRON (bcc: Jeffrey A Shankman/HOU/ECT)Subject: Associate and Analyst Programs New Year s Kickoff Reception",False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
"Your thoughts. -----Original Message-----From: 	Kaminski, Vince J  Sent:	Wednesday, November 07, 2001 9:25 AMTo:	Horton, StanleyCc:	Hughes, James A.Subject:	Analytical help with the Dhabol ProjectStan,Given the recent developments related to the DPC project, I would like tooffer the help of my group in providing analytical support in evaluating different optionsthat are open to us.One member of my group, Sandeep Kohli, worked for years for DPCin Mumbai and has not only good understanding of all the related contracts,but also excellent relationships with the major stakeholders, partners and regulatory authorities.He has also excellent analytical skills. His recent project was related to evaluationof the potential for developing power markets around Maharashtra, to improveeconomic viability of the DPC project (Dec 2000 - February 2001) - a presentationis attached.Please, feel free to ask Jim Hughes about Sandeep s skills and dedication to the company.Vince Kaminski",False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
"Mark - Here is a list of folks who have called yesterday and today.  I have given everyone your name and phone number and asked that they call you (their phone numbers are included fyi):	1.  Bill Wangering - Bank One 313-225-1749 (referred by Brett  Maxwell at First Analysis)	2.  Larry Miller - The Wind Turbine Company 425-637-1470	3,  Ari Schuler (sp) - Yucaipa Corp 310-228-2895.Adam",False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
"I think this is a good summary of where we are:1.  QF Status:  Mirant is willing to provide a legal opinion that it meets the QF status under the PPA if it is required to close.2.  A market report should be issued by Mirant today as to the reasons they have only been able to secure $300 million instead of $500 million in insurance.  Hopefully this will satisfy the lenders.3.  Mirant s proposal went out today on how to protect the lenders if the SHO is extinguished.4.  Mirant and GE have agreed to a closing checklist and fee coverage.Things left to do:1Finalize all documents2.  Receive underwriter approval on the resolution of all insurance claims.3.Agree upon mirror guarantees with Enron and Mission relating to the Union Carbide guarantees.Jeff Donahue informs me that CFSB feels secure that this deal will close on December 15 but not before.  The reason is that there are PPA bids that need to go out by that date.Let s keep daily status reports coming. If I have misrepresented anything in the summary, please let me know.",False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Marie:  Wisconsin s lawyer is out of the office until Nov. 29.  Would you please follow up with respect to the ISDA which we sent to him on Nov. 5?  I left your name and phone number on his voice mail.  Cary is interested in pursuing this counterparty.  Thanks.  Sara,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
"KevinI have a meeting on tues from 1-4 with stan. Is this the only time available?--------------------------Sent from my BlackBerry Wireless Handheld (www.BlackBerry.net)-----Original Message-----From: Hyatt, Kevin <Kevin.Hyatt@ENRON.com>CC: Howard, Kevin A. <Kevin.Howard@ENRON.com>; Thames, Davis <Davis.Thames@ENRON.com>Sent: Fri Feb 08 16:53:36 2002Subject: Updated: Meet w/ Jim Adams (Panda) & Bob Adrian (TECO)When: Tuesday, February 12, 2002 1:00 PM-2:30 PM (GMT-06:00) Central Time (US & Canada).Where: EB1336*~*~*~*~*~*~*~*~*~*",False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
You indicated that you d be finished by Wednesday.  Can you give me the comparision?  Thanks.  Sara---------------------- Forwarded by Sara Shackleton/HOU/ECT on 10/21/99 09:16 AM ---------------------------Sara Shackleton10/19/99 07:35 AMTo: Susan Flynn/HOU/ECT@ECTcc:  Subject: SMUDI see that you completed an ISDA comparison in late September.  What has happened with it?  SMUD is calling.  Can you advise Stuart Rosman ASAP?  SS,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
If its Stephanie you die!  I m working on killing JD now.Chad Gronvold06/27/2000 03:29 PMTo: Chris Germany/HOU/ECT@ECTcc:  Subject: Re:  Take a guess,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
"where at? -----Original Message-----From: 	Hyatt, Kevin  Sent:	Monday, February 11, 2002 11:50 AMTo:	Howard, Kevin A.Cc:	Gadd, EricSubject:	RE: Breakfast with Panda energy?Panda has already scheduled other meetings around ours so they can t move our time.  The will likely be in our office around 1:30pm Tues and we should be done around 3:30 -4pm if you finish with Stan early and would like to join us.thankskh -----Original Message-----From: 	Howard, Kevin A.  Sent:	Monday, February 11, 2002 11:09 AMTo:	Hyatt, KevinSubject:	RE: Breakfast with Panda energy?I can make it by 8. -----Original Message-----From: 	Hyatt, Kevin  Sent:	Monday, February 11, 2002 11:09 AMTo:	Howard, Kevin A.Subject:	Breakfast with Panda energy?If I can set it up, are you available for breakfast with Panda on Wed morning?  How early?regards, kevin",False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
"Yes. They are a great company to get in ISDA.  Mark	Mary Cunningham <MCUNNINGHAM@isda.org>	02/09/2001 02:02 PM		 		 To: Mark Haedicke <Mark.E.Haedicke@enron.com>		 cc: 		 Subject: Constellation EnergyMark:I know Duke will be no problem getting approved for membership during theexecutive committee meeting .  In case anyone asks, do you knowConstellation Power Source?Thanks.Mary",False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
Joao - I m making another business trip to Brazil - this time just to Sao Paolo.  I ll be there Tuesday to Thursday of this week.  Any chance you will be nearby?  I tried to arrange a meeting in Rio too but unfortunately our office there is quite small and the only people I need to see will be in Sao Paolo then.  I also still get to London every once in a while.  Let me know when you are there - maybe we can have dinner.Mark,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
"I can make it by 8. -----Original Message-----From: 	Hyatt, Kevin  Sent:	Monday, February 11, 2002 11:09 AMTo:	Howard, Kevin A.Subject:	Breakfast with Panda energy?If I can set it up, are you available for breakfast with Panda on Wed morning?  How early?regards, kevin",False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Jeff is still entering deals.Evelyn Metoyer@ENRON03/19/2001 02:41 PMTo: Kate Symes/PDX/ECT@ECTcc:  Subject: 3/19 CheckoutBLOOMBERGJeff RichterI am missing the following deal:Enron sells to Mirant 25 mw of NP-15 for 3/21-3/31 peak hours at $355.00PrebonJeff RichterI am missing the following deals:1) Enron buys from Mirant 25mw of May NP-15 at $2732) Enron buys from BP Amoco 25 mw of May NP-15 at $2733) Enron sells to Idaho 25 mw of April off-peak Mid-C at $3054) Enron buys from Mirant 25 mw of April off-peak Mid-C at $3045) Enron buys from Mirant 25 mw of April NP-15 at $3156) Enron buys from AEP 25 mw of April SP-15 at $295AmerexJeff Richter1) Enron sells to Calpine 25 mw of  3/21 NP-15 at $430 peak hrs.2) Enron buys from Duke 25 mw of Q3 01 Np-15 at $335 peak hrs.3) Enron buys from Duke 25 mw of April SP-15 at $294 peak hrs.4) Enron buys from AEP 25 mw of 3/21-3/31 SP-15 at $280 peak hrs.,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
"Anytime after 4 on Tuesday or anytime Wed. morning.-----Original Message-----From: Hyatt, Kevin Sent: Monday, February 11, 2002 7:49 AMTo: Howard, Kevin A.Subject: RE: Updated: Meet w/ Jim Adams (Panda) & Bob Adrian (TECO)what other time either Tues pm or Wed am are you available and I ll check.-----Original Message-----From: Howard, Kevin A. Sent: Friday, February 08, 2002 5:25 PMTo: Hyatt, KevinSubject: Re: Updated: Meet w/ Jim Adams (Panda) & Bob Adrian (TECO)KevinI have a meeting on tues from 1-4 with stan. Is this the only time available?--------------------------Sent from my BlackBerry Wireless Handheld (www.BlackBerry.net)-----Original Message-----From: Hyatt, Kevin <Kevin.Hyatt@ENRON.com>CC: Howard, Kevin A. <Kevin.Howard@ENRON.com>; Thames, Davis <Davis.Thames@ENRON.com>Sent: Fri Feb 08 16:53:36 2002Subject: Updated: Meet w/ Jim Adams (Panda) & Bob Adrian (TECO)When: Tuesday, February 12, 2002 1:00 PM-2:30 PM (GMT-06:00) Central Time (US & Canada).Where: EB1336*~*~*~*~*~*~*~*~*~*",False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
 - self_Confidence.jpg,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
 - self_Confidence.jpg,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
 - self_Confidence.jpg,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
"Dave, I didn t see Julia s name on the list.  I assume it was just oversight.  Let me know.  Mark",False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
"These deals were entered about half an hour ago by Matt Motley. 473282buy Avista92.0025 MWPalo VerdeOn peak473281buy Tractebel73.00Q4-02Palo VerdeOn peakLet me know if you still don t see these in the system.Thanks,KateKerri Thompson@ENRON12/04/2000 02:02 PMTo: Kate Symes/PDX/ECT@ECTcc:  Subject: natsourcemissing dealsbuy avistacal 0292.0025 mwpvon peakbuy tractebel25 mw73.00Q4 02pvon peak",False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
"I will play if the street thug doesn tPhillip M Love03/30/2000 02:29 PMTo: Eric Bass/HOU/ECT@ECT, David Baumbach/HOU/ECT@ECT, Kevin Bosse/HOU/ECT@ECT, Bryan Hull/HOU/ECT@ECT, Gregg Lenart/HOU/ECT@ECT, Eric Wardle/HOU/ECT@ECT, B Scott Palmer/HOU/ECT@ECT, O Neal D Winfree/HOU/ECT@ECT, Drew Hill/HOU/ECT@ECT, Jimmy Simien/Corp/Enron@ENRON, Mark Feldman/HOU/ECT@ECTcc:  Subject: softballI wanted to take a minute to apologize to you guys for the scene at last night s game.  I did not do a captain s job of controlling the situation, and I am sorry.  That being said, I am writing to determine if we will have a team in the next session.  We had previously committed to play, but with recent developments, I am not sure if everyone is still interested.  Please let me know if you will be interested in playing in the next session because I have already told the sportsplex that we will be playing.  If we decide not to play, I need to let them know ASAP and try and get the money back(forfeit deposit).  It is critical that I get a 100% response to this email to gauge whether or not we have enough people.  Due to the increased number of the people on the team working in risk, we will need as many bodies as possible due to the early games this session(they start this time at 6:30).  The season begins next wednesday.Thanks again for a fun and memorable season and I hope we do it again(at least the fun part).  Have a good weekend.PL",False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
"Lamar --I have received the list of the clients from John McMullen.  The key push is Legislative and AReM PR is not involved.  We need the customers to call the Gov and key Legislators.Jim -----Original Message-----From: 	Frazier, Lamar  Sent:	Wednesday, September 05, 2001 9:07 AMTo:	Steffes, James D.Subject:	Re: Customer Contact with Governor, Etc. - Direct Access SuspensionJim,My apologies for the delayed response, however, I was on vacation when you sent the original note.  I spoke to Sue Tuesday or Wednesday of last week and she was going to send me the contacts info at AReM s  PR office so that we could put the customer s in direct contact with that individual.  As you have seen I have requested contact information from Origination and Service Management, however, I would still like to have the PR contact s info in case we have a customer only willing to speak directly to AReM s PR.  Let me know if that is something you can provide.  RegardsFrom:	James D Steffes/ENRON@enronXgate on 09/04/2001 11:16 AMTo:	Lamar Frazier/HOU/EES@EES, Kevin Keeney/HOU/EES@EES, Susan J Mara/ENRON@enronXgate, Karen Denne/ENRON@enronXgatecc:	Dan Leff/HOU/EES@EES Subject:	Customer Contact with Governor, Etc. - Direct Access SuspensionLamar --It is critical that every customer in California that switched (signed new or renewal customer) during this year.  We need a contact person for each account.  The key to securing a better date is to have the customers push the Governor and the Legislature and the CPUC.We are able to provide phone numbers and contacts through our trade groups.Jim",False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
